iter	RMSE
0	0.3941205897
1	0.3890168915
2	0.3839032783
3	0.3795079256
4	0.3753787105
5	0.3707982254
6	0.3662199322
7	0.3617248119
8	0.3572149253
9	0.3529089034
10	0.3485050206
11	0.3445106636
12	0.3403020322
13	0.3364107097
14	0.3323546836
15	0.3285664727
16	0.3246290468
17	0.3208740713
18	0.3173896881
19	0.3137243277
20	0.3103061284
21	0.3068442273
22	0.3033795887
23	0.3001591871
24	0.2967026888
25	0.2934906171
26	0.2903621422
27	0.2870826551
28	0.2839712998
29	0.281004067
30	0.2782901664
31	0.2754811414
32	0.2727501234
33	0.2701564866
34	0.2672134807
35	0.2646359489
36	0.2619684263
37	0.2594675774
38	0.2568276593
39	0.2542782691
40	0.2518180542
41	0.2495375304
42	0.2472298395
43	0.2449142755
44	0.2426257745
45	0.2404330919
46	0.2382202479
47	0.2361751997
48	0.2340796914
49	0.2320347903
50	0.2299180791
51	0.22813744
52	0.2260959099
53	0.2241961306
54	0.2227023406
55	0.2209164061
56	0.2193562102
57	0.2175273733
58	0.2156776521
59	0.2139682971
60	0.2124026155
61	0.2106744731
62	0.2091328954
63	0.2075334627
64	0.2059524854
65	0.2044449587
66	0.2028872695
67	0.2015023533
68	0.1999824298
69	0.1986277312
70	0.1973207549
71	0.1959544266
72	0.1947641612
73	0.1936402586
74	0.1925338273
75	0.1913304226
76	0.1899979203
77	0.1887184507
78	0.1875043335
79	0.186383619
80	0.1852658308
81	0.1839962691
82	0.182837317
83	0.1818723926
84	0.1807554579
85	0.1797754536
86	0.1787946063
87	0.1777961805
88	0.1767819065
89	0.1757207131
90	0.1747828199
91	0.1738308996
92	0.1728518591
93	0.1719390333
94	0.1710961847
95	0.1701409928
96	0.1691548458
97	0.1683266235
98	0.1675869888
99	0.1668106582
100	0.1660135988
101	0.1653326003
102	0.1645324723
103	0.1637997621
104	0.1630455529
105	0.1623019063
106	0.1614298531
107	0.160708503
108	0.1600031715
109	0.15929003
110	0.1586219424
111	0.1578316146
112	0.1571726739
113	0.1565256356
114	0.1558456874
115	0.1551746221
116	0.1545270508
117	0.1538670047
118	0.1531848306
119	0.1525791434
120	0.1519385601
121	0.1513732043
122	0.1507418102
123	0.1502761961
124	0.1496548831
125	0.1491323501
126	0.148586849
127	0.1480337491
128	0.1475023469
129	0.1470290474
130	0.1465117396
131	0.1460779291
132	0.145594927
133	0.145097886
134	0.1445964389
135	0.144210393
136	0.1436529917
137	0.1431941238
138	0.1428489214
139	0.1423035824
140	0.1419628785
141	0.1415470678
142	0.1410777041
143	0.1406149266
144	0.1402971477
145	0.1399596606
146	0.1395287333
147	0.1391128084
148	0.1386800907
149	0.1383199917
150	0.1379272359
151	0.1375673777
152	0.1372160863
153	0.1368482379
154	0.1364816571
155	0.13603607
156	0.1357033636
157	0.1353728996
158	0.1349452848
159	0.1345737308
160	0.1342440815
161	0.1338395403
162	0.1334686628
163	0.1330760599
164	0.1327452361
165	0.1324185116
166	0.1320151297
167	0.1317086869
168	0.1313961844
169	0.1310438493
170	0.1306224854
171	0.1303880217
172	0.1301114618
173	0.1297632671
174	0.1294783596
175	0.12914167
176	0.1288156099
177	0.1285005878
178	0.12818019
179	0.1278721562
180	0.1275864722
181	0.1272465932
182	0.1269714716
183	0.1267051018
184	0.1264395163
185	0.1261184961
186	0.1258279145
187	0.1255718608
188	0.1252904774
189	0.1250491377
190	0.1247591501
191	0.124474981
192	0.1241939139
193	0.1239302561
194	0.1236404481
195	0.1234593181
196	0.1232376645
197	0.1230300441
198	0.1227741671
199	0.1224789777
200	0.1222707443
201	0.1219876762
202	0.12171535
203	0.1215193867
204	0.1212819567
205	0.1211165667
206	0.1209032172
207	0.1207218077
208	0.1205089754
209	0.1203468391
210	0.1200935645
211	0.1199005758
212	0.1196919212
213	0.1195297694
214	0.1193145572
215	0.1190396325
216	0.1188227038
217	0.1186205229
218	0.118455411
219	0.1182175922
220	0.1180432501
221	0.1178548587
222	0.1176207463
223	0.1173970137
224	0.1172021082
225	0.1170305525
226	0.1168543327
227	0.1166631557
228	0.116510929
229	0.116333893
230	0.1161216316
231	0.1159275958
232	0.1157046309
233	0.1155805439
234	0.1153861884
235	0.1152128393
236	0.115040653
237	0.1148267799
238	0.1146679446
239	0.114524436
240	0.1143462755
241	0.114168572
242	0.1140194602
243	0.1138072816
244	0.1136255805
245	0.1134591402
246	0.1132926525
247	0.1131274098
248	0.1130395244
249	0.1128794574
250	0.1127147453
251	0.1125935096
252	0.112458375
253	0.1123431803
254	0.1121813072
255	0.1120058102
256	0.1118520039
257	0.1116964777
258	0.1115778007
259	0.1114364328
260	0.1112399037
261	0.1110909404
262	0.1109099606
263	0.1107764178
264	0.1106266274
265	0.1104870279
266	0.1103224116
267	0.1102129844
268	0.1100676882
269	0.1099241031
270	0.1097867175
271	0.1096498088
272	0.109486707
273	0.1093618929
274	0.1092607123
275	0.1091114333
276	0.1089989178
277	0.1088488202
278	0.1086853001
279	0.1085809639
280	0.1083917039
281	0.1082485301
282	0.1081119187
283	0.1079997032
284	0.1078686945
285	0.1077042416
286	0.1075764273
287	0.1074608529
288	0.1073647493
289	0.1072184729
290	0.107060403
291	0.1069237077
292	0.1068013078
293	0.106693571
294	0.1065831092
295	0.1064190417
296	0.1063102705
297	0.1061885359
298	0.1060743753
299	0.1059976175
300	0.10584763
301	0.1057143045
302	0.105604649
303	0.1054733879
304	0.1053197295
305	0.1052530841
306	0.1051637351
307	0.1050805729
308	0.1049544059
309	0.1048550134
310	0.1047494355
311	0.1046249277
312	0.1044923089
313	0.1043894755
314	0.1043262855
315	0.1042380119
316	0.1041074926
317	0.1039970957
318	0.1038829746
319	0.1037763938
320	0.1036573155
321	0.1035629623
322	0.1034368062
323	0.1033518444
324	0.103254036
325	0.1031416339
326	0.1030182805
327	0.1029352878
328	0.1027922565
329	0.102648895
330	0.102552479
331	0.1024816181
332	0.1023554043
333	0.1022580722
334	0.102181177
335	0.1021226937
336	0.1020156569
337	0.1019074754
338	0.1018212891
339	0.1017260238
340	0.101650068
341	0.1015551139
342	0.1014764729
343	0.1013683984
344	0.1012554114
345	0.1011935573
346	0.1011172589
347	0.101072428
348	0.1009888469
349	0.1008948409
350	0.1007747938
351	0.1006544227
352	0.1005723203
353	0.1005076495
354	0.1004192384
355	0.1003276253
356	0.1002229349
357	0.1001392104
358	0.1000201201
359	0.09992784973
360	0.09983700828
361	0.09972805321
362	0.09965158653
363	0.09954563095
364	0.09946623683
365	0.09933880976
366	0.09928362777
367	0.09920225878
368	0.09911942034
369	0.09905809838
370	0.09899265454
371	0.09886909914
372	0.09879336471
373	0.09874182537
374	0.09864321269
375	0.09858457886
376	0.09849724217
377	0.09843644925
378	0.09829847537
379	0.09825148917
380	0.09819505078
381	0.09812700971
382	0.09803412146
383	0.09794016668
384	0.09782646165
385	0.0977129061
386	0.09761626399
387	0.09756121285
388	0.09747433359
389	0.09738227588
390	0.09730867637
391	0.09725857472
392	0.09716442758
393	0.09710107842
394	0.09702467449
395	0.09692320083
396	0.09686497017
397	0.09679064463
398	0.09671021877
399	0.09664364696
400	0.09656234016
401	0.09644564842
402	0.09638201899
403	0.09633939531
404	0.09626931233
405	0.09621611747
406	0.09613869392
407	0.09604151495
408	0.09598886562
409	0.09590020618
410	0.09579427158
411	0.09574794923
412	0.0956884745
413	0.09559220384
414	0.09552893734
415	0.09545764586
416	0.0953252522
417	0.09527321992
418	0.09517057757
419	0.09508069426
420	0.09501019324
421	0.09494778426
422	0.09483857731
423	0.09479175015
424	0.09465724768
425	0.09454735771
426	0.09443116942
427	0.09437750102
428	0.0942875892
429	0.09421900894
430	0.09414955768
431	0.09412056988
432	0.09401889579
433	0.09391446704
434	0.0938238956
435	0.09376845511
436	0.09367348884
437	0.09360682421
438	0.09350783836
439	0.09341954419
440	0.09338242228
441	0.0933104871
442	0.09320718583
443	0.09309442343
444	0.09304508278
445	0.09298512893
446	0.09293983212
447	0.09288131202
448	0.09281435355
449	0.09278820074
450	0.09274156796
451	0.09272440547
452	0.09263677313
453	0.09256366433
454	0.09249401747
455	0.09246469848
456	0.0924265504
457	0.09234924279
458	0.09227119343
459	0.09220869529
460	0.09211168968
461	0.09208510042
462	0.09205974675
463	0.09202852893
464	0.09198933346
465	0.09196437336
466	0.09185617209
467	0.09180249916
468	0.09171683563
469	0.09168770842
470	0.09160167155
471	0.09155133925
472	0.09147944572
473	0.09143527792
474	0.09138483984
475	0.09133974352
476	0.09123353069
477	0.09121039766
478	0.09118519694
479	0.09116097113
480	0.09112104798
481	0.09102174872
482	0.09093416079
483	0.09090161548
484	0.09088868398
485	0.09079707006
486	0.09070646203
487	0.09060768015
488	0.09052842245
489	0.09044742095
490	0.09039321765
491	0.09029482579
492	0.09019149664
493	0.09012546303
494	0.09005520514
495	0.09000750402
496	0.08992777485
497	0.08990156129
498	0.0898870765
499	0.08979763944
500	0.08977723855
501	0.0897578195
502	0.0896921918
503	0.08965960872
504	0.08963541608
505	0.08955923682
506	0.08947733116
507	0.08938406072
508	0.08928956601
509	0.08918416051
510	0.08912422429
511	0.08902339391
512	0.08898762215
513	0.08888508009
514	0.08879377264
515	0.08874296168
516	0.08866540523
517	0.088582504
518	0.08856730711
519	0.08849442382
520	0.08839585352
521	0.08836213005
522	0.08830125191
523	0.08823184399
524	0.08816906826
525	0.0881055842
526	0.08803175097
527	0.08796469644
528	0.08789158312
529	0.08782804567
530	0.08780702404
531	0.08774004998
532	0.08768035326
533	0.08760016197
534	0.08749249279
535	0.08741948405
536	0.08735905964
537	0.08727090538
538	0.08725938855
539	0.08718581989
540	0.08711436097
541	0.08702202295
542	0.08695066633
543	0.08688197603
544	0.08686661251
545	0.08679199153
546	0.08670324229
