iter	Passed	Remaining
0	3	17794
1	7	18156
2	10	17238
3	13	16951
4	15	15280
5	18	15226
6	21	15364
7	24	15457
8	27	15476
9	30	15395
10	33	15386
11	36	15313
12	40	15382
13	43	15440
14	46	15482
15	49	15464
16	52	15416
17	55	15417
18	58	15430
19	61	15375
20	64	15267
21	67	15184
22	69	15144
23	72	15049
24	75	14979
25	78	14930
26	80	14865
27	83	14877
28	87	14926
29	90	14928
30	93	14969
31	96	14949
32	99	14968
33	102	14922
34	105	14938
35	108	14896
36	110	14857
37	113	14811
38	115	14751
39	118	14703
40	120	14634
41	123	14570
42	125	14524
43	128	14471
44	130	14411
45	133	14357
46	135	14315
47	138	14266
48	140	14214
49	143	14202
50	145	14164
51	148	14124
52	151	14095
53	153	14080
54	156	14065
55	159	14060
56	161	14022
57	164	13986
58	166	13955
59	169	13979
60	172	13976
61	175	13966
62	177	13935
63	180	13905
64	182	13874
65	185	13857
66	188	13845
67	190	13816
68	192	13789
69	195	13767
70	197	13741
71	200	13736
72	203	13744
73	206	13720
74	208	13709
75	211	13685
76	213	13663
77	216	13648
78	218	13627
79	221	13607
80	223	13596
81	226	13578
82	228	13553
83	231	13542
84	233	13527
85	236	13510
86	238	13490
87	241	13473
88	243	13456
89	246	13437
90	249	13434
91	251	13417
92	254	13412
93	256	13397
94	259	13378
95	261	13367
96	264	13355
97	266	13339
98	269	13325
99	271	13309
100	274	13292
101	276	13294
102	279	13293
103	282	13282
104	284	13266
105	287	13251
106	289	13235
107	292	13231
108	294	13215
109	297	13211
110	299	13206
111	302	13205
112	305	13192
113	307	13193
114	310	13179
115	312	13169
116	315	13182
117	318	13182
118	321	13184
119	323	13171
120	326	13156
121	328	13142
122	331	13129
123	333	13114
124	336	13106
125	338	13095
126	341	13084
127	343	13073
128	346	13072
129	348	13070
130	352	13088
131	354	13090
132	357	13078
133	359	13066
134	362	13057
135	364	13046
136	367	13035
137	369	13023
138	372	13011
139	374	12998
140	376	12986
141	379	12977
142	381	12974
143	384	12961
144	386	12950
145	389	12940
146	391	12934
147	394	12926
148	397	12926
149	399	12925
150	402	12918
151	404	12907
152	407	12897
153	409	12889
154	412	12888
155	415	12892
156	418	12894
157	420	12893
158	423	12888
159	425	12880
160	428	12872
